Label,temperature,treatment,cage,survival,sex,individual,trait,Length
FO_18_NP_2_6_F_114_T_.tif,18,NP,2,6,F,114,T,1.058
FO_18_NP_2_6_F_114_L_.tif,18,NP,2,6,F,114,L,0.712
FO_18_NP_2_6_F_114_L_.tif,18,NP,2,6,F,114,L,0.709
FO_18_NP_2_6_F_114_W_.tif,18,NP,2,6,F,114,W,2.1
FO_18_NP_2_6_F_115_T_.tif,18,NP,2,6,F,115,T,1.051
FO_18_NP_2_6_F_115_L_.tif,18,NP,2,6,F,115,L,0.686
FO_18_NP_2_6_F_115_L_.tif,18,NP,2,6,F,115,L,0.656
FO_18_NP_2_6_F_80_T_.tif,18,NP,2,6,F,80,T,1.06
FO_18_NP_2_6_F_80_L_.tif,18,NP,2,6,F,80,L,0.685
FO_18_NP_2_6_F_80_L_.tif,18,NP,2,6,F,80,L,0.682
FO_18_NP_2_6_F_80_W_.tif,18,NP,2,6,F,80,W,1.927
FO_18_NP_2_6_M_81_T_.tif,18,NP,2,6,M,81,T,0.868
FO_18_NP_2_6_M_81_L_.tif,18,NP,2,6,M,81,L,0.623
FO_18_NP_2_6_M_81_L_.tif,18,NP,2,6,M,81,L,0.611
FO_18_NP_2_6_M_81_W_.tif,18,NP,2,6,M,81,W,1.691
FO_18_NP_2_6_F_82_T_.tif,18,NP,2,6,F,82,T,1.029
FO_18_NP_2_6_F_82_L_.tif,18,NP,2,6,F,82,L,0.675
FO_18_NP_2_6_F_82_L_.tif,18,NP,2,6,F,82,L,0.662
FO_18_NP_2_6_F_82_W_.tif,18,NP,2,6,F,82,W,1.91
FO_18_NP_2_6_M_83_T_.tif,18,NP,2,6,M,83,T,0.949
FO_18_NP_2_6_M_83_L_.tif,18,NP,2,6,M,83,L,0.652
FO_18_NP_2_6_M_83_L_.tif,18,NP,2,6,M,83,L,0.636
FO_18_NP_2_6_M_83_W_.tif,18,NP,2,6,M,83,W,1.803
FO_18_NP_2_6_F_84_T_.tif,18,NP,2,6,F,84,T,1.025
FO_18_NP_2_6_F_84_L_.tif,18,NP,2,6,F,84,L,0.727
FO_18_NP_2_6_F_84_L_.tif,18,NP,2,6,F,84,L,0.699
FO_18_NP_2_6_F_84_W_.tif,18,NP,2,6,F,84,W,1.908
FO_18_NP_2_6_M_85_T_.tif,18,NP,2,6,M,85,T,0.92
FO_18_NP_2_6_M_85_L_.tif,18,NP,2,6,M,85,L,0.661
FO_18_NP_2_6_M_85_L_.tif,18,NP,2,6,M,85,L,0.657
FO_18_NP_2_6_M_85_W_.tif,18,NP,2,6,M,85,W,1.756
FO_18_NP_2_6_F_86_T_.tif,18,NP,2,6,F,86,T,1.052
FO_18_NP_2_6_F_86_L_.tif,18,NP,2,6,F,86,L,0.705
FO_18_NP_2_6_F_86_L_.tif,18,NP,2,6,F,86,L,0.663
FO_18_NP_2_6_F_86_W_.tif,18,NP,2,6,F,86,W,2.041
FO_18_NP_2_6_M_87_T_.tif,18,NP,2,6,M,87,T,0.832
FO_18_NP_2_6_M_87_L_.tif,18,NP,2,6,M,87,L,0.587
FO_18_NP_2_6_M_87_L_.tif,18,NP,2,6,M,87,L,0.591
FO_18_NP_2_6_M_87_W_.tif,18,NP,2,6,M,87,W,1.616
FO_18_NP_2_6_F_88_T_.tif,18,NP,2,6,F,88,T,1.085
FO_18_NP_2_6_F_88_L_.tif,18,NP,2,6,F,88,L,0.723
FO_18_NP_2_6_F_88_L_.tif,18,NP,2,6,F,88,L,0.724
FO_18_NP_2_6_F_88_W_.tif,18,NP,2,6,F,88,W,2.035
FO_18_NP_2_6_F_89_T_.tif,18,NP,2,6,F,89,T,0.996
FO_18_NP_2_6_F_89_L_.tif,18,NP,2,6,F,89,L,0.669
FO_18_NP_2_6_F_89_L_.tif,18,NP,2,6,F,89,L,0.653
FO_18_NP_2_6_M_90_T_.tif,18,NP,2,6,M,90,T,0.969
FO_18_NP_2_6_M_90_L_.tif,18,NP,2,6,M,90,L,0.654
FO_18_NP_2_6_M_90_L_.tif,18,NP,2,6,M,90,L,0.653
FO_18_NP_2_6_M_90_W_.tif,18,NP,2,6,M,90,W,1.804
FO_18_NP_2_6_F_91_T_.tif,18,NP,2,6,F,91,T,1.053
FO_18_NP_2_6_F_91_L_.tif,18,NP,2,6,F,91,L,0.699
FO_18_NP_2_6_F_91_L_.tif,18,NP,2,6,F,91,L,0.686
FO_18_NP_2_6_F_91_W_.tif,18,NP,2,6,F,91,W,2.013
FO_18_NP_2_6_F_92_T_.tif,18,NP,2,6,F,92,T,1.016
FO_18_NP_2_6_F_92_L_.tif,18,NP,2,6,F,92,L,0.666
FO_18_NP_2_6_F_92_L_.tif,18,NP,2,6,F,92,L,0.647
FO_18_NP_2_6_F_92_W_.tif,18,NP,2,6,F,92,W,1.844
FO_18_NP_2_6_F_93_T_.tif,18,NP,2,6,F,93,T,1.018
FO_18_NP_2_6_F_93_L_.tif,18,NP,2,6,F,93,L,0.673
FO_18_NP_2_6_F_93_L_.tif,18,NP,2,6,F,93,L,0.66
FO_18_NP_2_6_F_93_W_.tif,18,NP,2,6,F,93,W,1.932
FO_18_NP_2_6_F_94_T_.tif,18,NP,2,6,F,94,T,0.961
FO_18_NP_2_6_F_94_L_.tif,18,NP,2,6,F,94,L,0.665
FO_18_NP_2_6_F_94_L_.tif,18,NP,2,6,F,94,L,0.648
FO_18_NP_2_6_F_94_W_.tif,18,NP,2,6,F,94,W,1.931
FO_18_NP_2_6_F_95_T_.tif,18,NP,2,6,F,95,T,1.032
FO_18_NP_2_6_F_95_L_.tif,18,NP,2,6,F,95,L,0.692
FO_18_NP_2_6_F_95_L_.tif,18,NP,2,6,F,95,L,0.659
FO_18_NP_2_6_F_95_W_.tif,18,NP,2,6,F,95,W,1.959
FO_18_NP_2_6_M_63_T_.tif,18,NP,2,6,M,63,T,0.928
FO_18_NP_2_6_M_63_L_.tif,18,NP,2,6,M,63,L,0.675
FO_18_NP_2_6_M_63_L_.tif,18,NP,2,6,M,63,L,0.655
FO_18_NP_2_6_M_63_W_.tif,18,NP,2,6,M,63,W,1.766
FO_18_NP_2_6_F_64_T_.tif,18,NP,2,6,F,64,T,0.988
FO_18_NP_2_6_F_64_L_.tif,18,NP,2,6,F,64,L,0.65
FO_18_NP_2_6_F_64_L_.tif,18,NP,2,6,F,64,L,0.645
FO_18_NP_2_6_F_64_W_.tif,18,NP,2,6,F,64,W,2.003
FO_18_NP_2_6_F_65_T_.tif,18,NP,2,6,F,65,T,1.09
FO_18_NP_2_6_F_65_L_.tif,18,NP,2,6,F,65,L,0.675
FO_18_NP_2_6_F_65_L_.tif,18,NP,2,6,F,65,L,0.646
FO_18_NP_2_6_F_65_W_.tif,18,NP,2,6,F,65,W,1.923
FO_18_NP_2_6_F_66_T_.tif,18,NP,2,6,F,66,T,1.032
FO_18_NP_2_6_F_66_L_.tif,18,NP,2,6,F,66,L,0.688
FO_18_NP_2_6_F_66_L_.tif,18,NP,2,6,F,66,L,0.636
FO_18_NP_2_6_F_66_W_.tif,18,NP,2,6,F,66,W,1.98
FO_18_NP_2_6_M_67_T_.tif,18,NP,2,6,M,67,T,0.949
FO_18_NP_2_6_M_67_L_.tif,18,NP,2,6,M,67,L,0.675
FO_18_NP_2_6_M_67_L_.tif,18,NP,2,6,M,67,L,0.62
FO_18_NP_2_6_M_67_W_.tif,18,NP,2,6,M,67,W,1.778
FO_18_NP_2_6_M_68_T_.tif,18,NP,2,6,M,68,T,0.983
FO_18_NP_2_6_M_68_L_.tif,18,NP,2,6,M,68,L,0.686
FO_18_NP_2_6_M_68_L_.tif,18,NP,2,6,M,68,L,0.649
FO_18_NP_2_6_M_68_W_.tif,18,NP,2,6,M,68,W,1.816
FO_18_NP_2_6_M_69_T_.tif,18,NP,2,6,M,69,T,1.009
FO_18_NP_2_6_M_69_L_.tif,18,NP,2,6,M,69,L,0.683
FO_18_NP_2_6_M_69_L_.tif,18,NP,2,6,M,69,L,0.677
FO_18_NP_2_6_M_69_W_.tif,18,NP,2,6,M,69,W,1.851
FO_18_NP_2_6_F_70_T_.tif,18,NP,2,6,F,70,T,0.992
FO_18_NP_2_6_F_70_L_.tif,18,NP,2,6,F,70,L,0.676
FO_18_NP_2_6_F_70_L_.tif,18,NP,2,6,F,70,L,0.665
FO_18_NP_2_6_F_70_W_.tif,18,NP,2,6,F,70,W,1.931
FO_18_NP_2_6_F_71_T_.tif,18,NP,2,6,F,71,T,1.012
FO_18_NP_2_6_F_71_L_.tif,18,NP,2,6,F,71,L,0.683
FO_18_NP_2_6_F_71_L_.tif,18,NP,2,6,F,71,L,0.664
FO_18_NP_2_6_F_71_W_.tif,18,NP,2,6,F,71,W,1.946
FO_18_NP_2_6_M_72_T_.tif,18,NP,2,6,M,72,T,0.844
FO_18_NP_2_6_M_72_L_.tif,18,NP,2,6,M,72,L,0.608
FO_18_NP_2_6_M_72_L_.tif,18,NP,2,6,M,72,L,0.539
FO_18_NP_2_6_M_72_W_.tif,18,NP,2,6,M,72,W,1.554
FO_18_NP_2_6_M_73_T_.tif,18,NP,2,6,M,73,T,0.873
FO_18_NP_2_6_M_73_L_.tif,18,NP,2,6,M,73,L,0.623
FO_18_NP_2_6_M_73_L_.tif,18,NP,2,6,M,73,L,0.627
FO_18_NP_2_6_M_73_W_.tif,18,NP,2,6,M,73,W,1.678
FO_18_NP_2_6_F_74_T_.tif,18,NP,2,6,F,74,T,0.997
FO_18_NP_2_6_F_74_L_.tif,18,NP,2,6,F,74,L,0.655
FO_18_NP_2_6_F_74_L_.tif,18,NP,2,6,F,74,L,0.645
FO_18_NP_2_6_F_74_W_.tif,18,NP,2,6,F,74,W,1.93
FO_18_NP_2_6_F_75_T_.tif,18,NP,2,6,F,75,T,1.083
FO_18_NP_2_6_F_75_L_.tif,18,NP,2,6,F,75,L,0.698
FO_18_NP_2_6_F_75_L_.tif,18,NP,2,6,F,75,L,0.666
FO_18_NP_2_6_F_75_W_.tif,18,NP,2,6,F,75,W,1.994
FO_18_NP_2_6_F_76_T_.tif,18,NP,2,6,F,76,T,1.045
FO_18_NP_2_6_F_76_L_.tif,18,NP,2,6,F,76,L,0.677
